,address,lat,lon,title
102,"No.36 Hanzhong Street, Wanhua District, Taipei, Taiwan ",25.04446,121.50742,Rainbow Hotel
103,"3/F, No.46, Huayin Street, Datong District, Taipei 103, Taiwan ",25.05026,121.51528,Hotel Puri - Taipei Station Branch
104,"No.1 Yinguang Lane, Wenquan Road, Peitou District, Taipei 111243, Taiwan (Formerly Lotus Spa Hot Spring Hotel)",25.1366,121.51303,Nine Plus Spa Hot Spring Hotel
105,"No.41 Section 1, Kaifeng Street, Zhongzheng District, Taipei 100, Taiwan ",25.046059,121.51251,Orange Hotel - Kaifeng
106,"2F No.18-1 Lane 18, Nanjing West Road, Taipei 103, Taiwan ",25.051268,121.52011,Guest House Taiwanmex
107,"No.1 Lane 11,Section 2, Zhong Shan North Road, Zhongshan District, Taipei, Taiwan ",25.05276,121.52334,K Hotel (Taipei I)
108,"No.8, Lane 48, Fude Road, Shilin District, Taipei 111, Taiwan ",25.092455,121.5232,Papersun Apartment
109,"No.32 Section 5, Nanking East Road, Taipei 105, Taiwan ",25.051456,121.55908,Fullerton Hotel East Taipei
110,"No.22 Guanqian Road, Zhongzheng District, Taipei 100, Taiwan ",25.045153,121.514984,Orange Hotel - Guanqian
111,"No.82 Section 1, Zhonghua Road, Wanhua District, Taipei 108, Taiwan ",25.045736,121.508385,Wonstar Hotel Zhonghua
112,"No.306 Sung Chiang Road, Taipei, Taiwan ",25.060333,121.53267,Golden China Hotel
113,"No.237 Gerzhi Road, Yangmingshan, Beitou District, Taipei 111, Taiwan ",25.1435,121.54884,The Landis Resort Yangmingshan
114,"No.119 Kunming Street, Taipei 108, Taiwan ",25.041664,121.50465,Cho Hotel
115,"No.5 Lane 90, Sung Chiang Road, Zhongshan District, Taipei, Taiwan ",25.05058,121.53194,Linkworld Hotel
116,"No.166-2, Section 1, Zhonghua Road, Wanhua District, Taipei 10846, Taiwan ",25.041298,121.50758,Orange Hotel Ximen
117,"No.3 Yijiang Street, Jhongshan District, Taipei 104, Taiwan (Formerly Viscount Hotel)",25.050962,121.53149,Forward Hotel - Songjiang
118,"B1-F12, No.8 Minsheng West Road, Chung Shan, Taipei 104, Taiwan ",25.05783,121.52226,Shin Shih Hotel
119,"No.477 Linsen North Road, Jhongshan District, Taipei 104, Taiwan ",25.06112,121.52572,Hotel Sense
120,"No.139 Linsen North Road, Zhongshan District, Taipei 100, Taiwan ",25.05128,121.52521,"Orange Hotel-Linsen, Taipei"
121,"No.432 Changchun Road, Taipei, Taiwan ",25.05455,121.54488,Delight Hotel
122,"No.67 Section 6, Shimin Road, Sungshan District, Taipei, Taiwan (Formerly Hope City Sung Shang Hotel)",25.049913,121.57433,Charming City Hotel Sungshan
123,"6F., No.62 Changchun Road, Zhongshan District, Taipei 104, Taiwan ",25.05493,121.52626,Beauty Hotels Taipei - Hotel Bnight
124,"No.111 Section 3, Minsheng East Road, Songshan Dist., Taipei 105, Taiwan ",25.058088,121.54586,The Sherwood Taipei
125,"No.107 Xining South Road, Wanhua District, Taipei 10843, Taiwan ",25.045053,121.50671,inhouse Hotel
126,"1F, No.209, Section 1, Civic Blvd, Datong District, Taipei, Taiwan ",25.04879,121.51857,Master Inn
127,"No.105 Xining South Road, Wanhua District, Taipei, Taiwan ",25.045166,121.50716,Wonstar Hotel - Ximen
128,"No.106 Fuguo Road, Shihlin District, Taipei 111, Taiwan ",25.102415,121.52148,Reedon Boutique Hotel
129,"3F No.72 section 1, Chung-Hsaio West Road, Taipei, Taiwan ",25.04679,121.51408,Say Love Hotel
130,"8F No.144 Section 1, Zhonghua Road, Taipei 108, Taiwan ",25.04335,121.50813,Airline Inn Taipei
131,"No.25 Section 2, Xinsheng North Road, Zhongshan District, Taipei 104, Taiwan ",25.053652,121.52775,Beauty Hotels Taipei - Hotel Bchic
132,"No.46 Lane 500 Yonggong Road, Shih-lin, Taipei 111, Taiwan ",25.132126,121.56892,Silk Valley Resort
133,"No.23 Section 2, Hankou Street, Wanhua District, Taipei, Taiwan ",25.04549,121.50795,East Dragon Hotel
134,"No.367 Section 2, Bade Road, Songshan District, Taipei, Taiwan ",25.048038,121.54469,Hotel B Taipei
135,"No.8 Xiangyang Road, Zhongzheng District, Taipei, Taiwan ",25.04347,121.51346,Look Hotel
136,"No.6 Kangding Road, Wanhua District, Taipei, Taiwan ",25.04585,121.50323,Fu Chang Hotel
137,"No.369 Linsen North Road, Zhongshan District, Taipei 104, Taiwan ",25.05774,121.52554,Gloria Prince Hotel Taipei
138,"8-11 Floor, No.1 Nanking West Road, Taipei, Taiwan ",25.0524,121.52213,Royal Inn Nanxi
139,"No.23 Sanchong Road, Nangang District, Taipei, Taiwan ",25.059166,121.61411,Taipei Forward Hotel Nangang Branch
140,"2F,No.197,Sec. 2,Yanping North Road, Taipei 103, Taiwan ",25.05931,121.51144,If Inn
141,"No.299 Zhifu Road, Zhongshan District, Taipei 104, Taiwan ",25.0809,121.56158,Mulan Motel Taipei
142,"No.187 Chang Chun Road, Taipei 187, Taiwan ",25.05471,121.53775,Waikoloa Hotel
143,"No.106 Section 2, Wuchang Street, Wanhua District, Taipei 108, Taiwan ",25.04518,121.50514,Beauty Hotels Taipei - Hotel B6
144,"No.137 Shing'an Street, Songshan District, Taipei 0, Taiwan ",25.05619,121.54471,Tai Hope Hotel
145,"No.168 Jingye Fourth Road, Taipei 104, Taiwan ",25.084333,121.5585,Grand Victoria Hotel
146,"No.98 Sec. 3, Roosevelt Rd, Zhongzheng District, Taipei, Taiwan ",25.02161,121.52702,Li Yuan Hotel
147,"No.75 Jingye Second Road, Jhongshan District, Taipei, Taiwan ",25.082333,121.55423,Sato Castle Motel
148,"No.238 Sec. 2 Dunhua South Road, Da'an District, Taipei, Taiwan ",25.02095,121.54854,K Hotel Dunnan
149,"No.86, Sec. 1, Chongqing S. Rd., Zhongzheng District, Taipei, Taiwan ",25.04307,121.5132,Chaiin Hotel - Tzung Tung Fu
150,"No.288 Zhifu Road, Zhongshan District, Taipei, Taiwan (Formerly Golden Palace Hotel)",25.08067,121.56157,Capital Hotel Dazhi
151,"No.251 Songjiang Road, Zhongshan District, Taipei, Taiwan ",25.059362,121.53345,K Hotel Songjiang
152,"No.123 Lecyun Third Road, Jhongshan District, Taipei, Taiwan ",25.083067,121.55492,ISIS Taipei Boutique Hotel
153,"1 Area, No.118, Section 1, Nanking East Road, Taipei, Taiwan ",25.051916,121.52671,Emperor Hotel
154,"No.9 Section 1, Min-Chuan East Road, Taipei 104, Taiwan ",25.062944,121.52334,Sunroute Hotel
155,"No.213 Section 4, Pateh Road, Songshan District, Taipei 105, Taiwan (Formerly The Richforest Hotel)",25.04886,121.56414,Lealea Garden Hotels-Taipei
156,"No.53 Sec. 2, Kaifeng Street, Wanhua District, Taipei, Taiwan ",25.046928,121.50549,W5 Best Hotel
157,"No.178 Section 1 Zhong-Hua Road, Taipei 108, Taiwan ",25.039093,121.50703,Rich Garden Hotel
158,"No.140, Sec. 1, Jianguo N. Road, Taipei, Taiwan ",25.05104,121.53657,Green World Hotel Jian Pei Suites
159,"No.73 Section 1, Chongqing North Road, Taipei 10350, Taiwan ",25.05225,121.51406,New Continental Hotel
160,"3F. No.235, Sec4,ZhongXiao E.Rd, Taipei 106, Taiwan ",25.04152,121.55377,RF Hotel
